Description,TotalPrice
"PAPER CRAFT , LITTLE BIRDIE",168469.6
REGENCY CAKESTAND 3 TIER,142264.75
WHITE HANGING HEART T-LIGHT HOLDER,100392.1
JUMBO BAG RED RETROSPOT,85040.54000000001
MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001
POSTAGE,77803.96
PARTY BUNTING,68785.23000000001
ASSORTED COLOUR BIRD ORNAMENT,56413.03
Manual,53419.93
RABBIT NIGHT LIGHT,51251.24
CHILLI LIGHTS,46265.11
PAPER CHAIN KIT 50'S CHRISTMAS ,42584.130000000005
PICNIC BASKET WICKER 60 PIECES,39619.5
BLACK RECORD COVER FRAME,39045.8
JUMBO BAG PINK POLKADOT,37254.36
DOORMAT KEEP CALM AND COME IN,35880.85
SPOTTY BUNTING,35509.55
WOOD BLACK BOARD ANT WHITE FINISH,34414.71
SET OF 3 CAKE TINS PANTRY DESIGN ,33298.3
JAM MAKING SET WITH JARS,32616.22
JUMBO BAG STRAWBERRY,30569.32
VICTORIAN GLASS HANGING T-LIGHT,28735.36
HEART OF WICKER LARGE,28479.65
HEART OF WICKER SMALL,28217.089999999997
LUNCH BAG RED RETROSPOT,27868.8
SET OF 3 REGENCY CAKE TINS,26566.280000000002
JUMBO BAG APPLES,26426.3
ALARM CLOCK BAKELIKE RED ,25868.95
PAPER CHAIN KIT VINTAGE CHRISTMAS,25639.77
DOORMAT RED RETROSPOT,25364.85
GIN + TONIC DIET METAL SIGN,24944.88
ROSES REGENCY TEACUP AND SAUCER ,24827.25
SPACEBOY LUNCH BOX ,24673.14
HOT WATER BOTTLE KEEP CALM,24302.550000000003
JUMBO BAG ALPHABET,24160.44
NATURAL SLATE HEART CHALKBOARD ,24089.170000000002
PLEASE ONE PERSON METAL SIGN,23865.820000000003
RED  HARMONICA IN BOX ,23756.43
JUMBO  BAG BAROQUE BLACK WHITE,23630.58
DOORMAT UNION FLAG,23622.54
CHOCOLATE HOT WATER BOTTLE,23584.64
POPCORN HOLDER,23417.51
REGENCY TEAPOT ROSES ,23033.52
BAKING SET 9 PIECE RETROSPOT ,22953.100000000002
DOORMAT NEW ENGLAND,22783.8
CREAM HEART CARD HOLDER,22687.920000000002
VINTAGE UNION JACK MEMOBOARD,22679.28
RED HANGING HEART T-LIGHT HOLDER,22595.190000000002
SET OF TEA COFFEE SUGAR TINS PANTRY,22109.08
ROUND SNACK BOXES SET OF4 WOODLAND ,22101.77
